items,count,total,rnd,customer,age,city,paymentType
"citrus fruit,semi-finished bread,margarine,ready soups",4,1612,9,Maged,60,Hurghada,Cash
"tropical fruit,yogurt,coffee",3,509,12,Eman,23,Aswan,Cash
whole milk,1,2084,8,Rania,37,Dakahlia,Cash
"pip fruit,yogurt,cream cheese ,meat spreads",4,788,8,Rania,37,Dakahlia,Cash
"other vegetables,whole milk,condensed milk,long life bakery product",4,1182,14,Magdy,36,Sohag,Cash
"whole milk,butter,yogurt,rice,abrasive cleaner",5,1771,3,Ahmed,30,Giza,Credit
rolls/buns,1,2196,7,Huda,39,Gharbia,Cash
"other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)",5,1657,6,Walaa,29,Cairo,Cash
pot plants,1,2373,2,Mohamed,25,Alexandria,Credit
"whole milk,cereals",2,343,5,Shimaa,55,Port Said,Cash
"tropical fruit,other vegetables,white bread,bottled water,chocolate",5,1381,2,Mohamed,25,Alexandria,Cash
"citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes",9,1965,1,Farida,22,Cairo,Credit
beef,1,784,11,Hanan,22,Fayoum,Cash
"frankfurter,rolls/buns,soda",3,1001,7,Huda,39,Gharbia,Credit
"chicken,tropical fruit",2,1579,13,Sayed,37,Cairo,Credit
"butter,sugar,fruit/vegetable juice,newspapers",4,585,8,Rania,37,Dakahlia,Credit
fruit/vegetable juice,1,184,5,Shimaa,55,Port Said,Cash
packaged fruit/vegetables,1,1737,12,Eman,23,Aswan,Cash
chocolate,1,184,6,Walaa,29,Cairo,Cash
specialty bar,1,469,7,Huda,39,Gharbia,Cash
other vegetables,1,408,5,Shimaa,55,Port Said,Cash
"butter milk,pastry",2,2252,7,Huda,39,Gharbia,Credit
whole milk,1,1538,3,Ahmed,30,Giza,Cash
"tropical fruit,cream cheese ,processed cheese,detergent,newspapers",5,1215,9,Maged,60,Hurghada,Credit
"tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner",11,1762,4,Adel,50,Alexandria,Credit
"bottled water,canned beer",2,2384,15,Sameh,35,Hurghada,Cash
yogurt,1,599,1,Farida,22,Cairo,Cash
"sausage,rolls/buns,soda,chocolate",4,2360,10,Samy,55,Alexandria,Credit
other vegetables,1,1906,1,Farida,22,Cairo,Credit
"brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags",6,391,13,Sayed,37,Cairo,Cash
"yogurt,beverages,bottled water,specialty bar",4,556,3,Ahmed,30,Giza,Cash
"hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins",7,1821,5,Shimaa,55,Port Said,Cash
"root vegetables,other vegetables,whole milk,beverages,sugar",5,676,3,Ahmed,30,Giza,Credit
"pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner",8,988,8,Rania,37,Dakahlia,Credit
"beef,grapes,detergent",3,148,13,Sayed,37,Cairo,Credit
"pastry,soda",2,1009,8,Rania,37,Dakahlia,Credit
fruit/vegetable juice,1,1760,14,Magdy,36,Sohag,Cash
canned beer,1,1465,6,Walaa,29,Cairo,Credit
"root vegetables,other vegetables,whole milk,dessert",4,2374,6,Walaa,29,Cairo,Credit
"citrus fruit,zwieback,newspapers",3,416,4,Adel,50,Alexandria,Cash
"sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags",6,2117,10,Samy,55,Alexandria,Credit
"tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy",13,1287,13,Sayed,37,Cairo,Cash
"berries,yogurt",2,443,15,Sameh,35,Hurghada,Cash
canned beer,1,1225,15,Sameh,35,Hurghada,Credit
"butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers",8,1413,8,Rania,37,Dakahlia,Credit
coffee,1,1983,2,Mohamed,25,Alexandria,Cash
"pastry,bottled water",2,730,1,Farida,22,Cairo,Credit
rolls/buns,1,2430,10,Samy,55,Alexandria,Credit
misc. beverages,1,194,12,Eman,23,Aswan,Credit
"root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product",10,2232,5,Shimaa,55,Port Said,Credit
"sausage,rolls/buns,cat food,newspapers",4,2276,9,Maged,60,Hurghada,Cash
canned beer,1,569,15,Sameh,35,Hurghada,Credit
"ham,grapes,other vegetables,whole milk",4,1597,10,Samy,55,Alexandria,Cash
"turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice",10,433,5,Shimaa,55,Port Said,Cash
"whole milk,yogurt,processed cheese,pickled vegetables,soda",5,114,9,Maged,60,Hurghada,Cash
"whole milk,curd,yogurt,pastry",4,1026,2,Mohamed,25,Alexandria,Credit
